formno,childid,id,age,memsex,relate,livhse,grade,still,chgrade,chstill,whynot,agegrade,agestsch,hhschtyp,perf,schoolen,disab,act1,months1,days1,hours1,act2,months2,days2,hours2,act3,months3,days3,hours3,sleep,chcare,hhchore,npaywork,paywork,school,study,play,inegsday,inegwage,inegchld,inegvill,inegcomp
,IN120056,15,3,male,cousin,"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,n/a,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77,-77,-77,nk,nk,nk
,IN120056,0,5,male,yl child,"yes, still lives in household",n/a,n/a,none,"yes, attending regularly",n/a,88,5,government school,good,reasonably ok,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,2,0,0,0,7,4,1,-77,-77,nk,nk,nk
,IN120056,17,5,female,cousin,"yes, still lives in household",n/a,n/a,none,"yes, attending regularly",n/a,88,5,government school,reasonably well,reasonably ok,no disability,n/a,88,88,88,n/a,88,88,88,n/a,88,88,88,10,2,0,0,0,7,4,1,-77,-77,nk,nk,nk
,IN120056,13,20,female,uncle/aunt,"yes, still lives in household",6,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),9,5,5,household chores,12,7,4,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN120056,12,20,male,uncle/aunt,"yes, still lives in household",12,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),9,6,6,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN120056,9,22,female,biological parent,"yes, still lives in household",6,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),9,5,5,household chores,12,7,4,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN120056,10,22,male,uncle/aunt,"yes, still lives in household",9,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),9,6,6,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN120056,8,24,female,uncle/aunt,"yes, still lives in household",6,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),9,5,5,household chores,12,7,3,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN120056,4,48,female,paternal grandparent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),9,5,5,household chores,12,7,3,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN120056,5,48,female,paternal grandparent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),9,5,5,household chores,12,7,3,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN120056,1,79,female,great-grandparent (father's side),"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN120056,11,21,male,uncle/aunt,"yes, still lives in household",11,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),9,6,6,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,0,0,no,no,no
,IN120056,7,26,male,uncle/aunt,"yes, still lives in household",9,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),9,6,6,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,7,80,no,no,no
,IN120056,6,30,male,biological parent,"yes, still lives in household",12,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),9,6,6,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,7,80,no,no,no
,IN120056,3,52,male,paternal grandparent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),9,5,6,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,7,80,no,no,no
,IN120056,2,54,male,paternal grandparent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),9,5,6,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,7,80,no,no,no
,IN120057,12,1,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77,-77,-77,nk,nk,nk
,IN120057,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,"yes, attending regularly",n/a,88,5,government school,reasonably well,reasonably ok,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,7,4,3,-77,-77,nk,nk,nk
,IN120057,11,7,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,1,"yes, attending regularly",n/a,88,5,government school,reasonably well,reasonably ok,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,9,2,0,0,0,7,4,2,-77,-77,nk,nk,nk
,IN120057,10,15,male,cousin,"yes, still lives in household",n/a,n/a,7,"yes, attending regularly",n/a,88,5,government school,reasonably well,reasonably ok,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,9,0,0,0,0,8,4,3,-77,-77,nk,nk,nk
,IN120057,9,19,female,cousin,"yes, still lives in household",6,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (business),12,7,3,household chores,12,7,2,wage employment (agriculture),6,2,8,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN120057,8,21,female,cousin,"yes, still lives in household",12,"yes, attending regularly",n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN120057,5,34,female,uncle/aunt,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,cannot work but able to care for themselves,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN120057,2,70,female,great-grandparent (father's side),person has died,nk,nk,n/a,n/a,n/a,88,88,n/a,n/a,n/a,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN120057,1,79,male,great-grandparent (father's side),person has died,nk,nk,n/a,n/a,n/a,88,88,n/a,n/a,n/a,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN120057,7,29,female,biological parent,"yes, still lives in household",6,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,12,7,5,wage employment (agriculture),6,4,8,self-employed (food crops),4,3,1,88,88,88,88,88,88,88,88,7,80,no,no,no
,IN120057,6,33,male,biological parent,"yes, still lives in household",12,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (agriculture),6,3,8,self-employed (food crops),3,3,5,n/a,88,88,88,88,88,88,88,88,88,88,88,7,80,no,no,no
,IN120057,4,47,female,uncle/aunt,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (agriculture),6,4,8,household chores,12,7,1,self-employed (food crops),3,3,1,88,88,88,88,88,88,88,88,7,80,no,no,no
,IN120057,3,54,male,uncle/aunt,"yes, still lives in household",7,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),3,7,3,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,7,80,no,no,no
,IN120058,0,4,male,yl child,"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77,-77,-77,nk,nk,nk
,IN120058,4,21,female,biological parent,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,12,7,5,self-employed (food crops),5,1,3,wage employment (agriculture),3,1,8,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN120058,2,44,female,paternal grandparent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (agriculture),6,3,8,household chores,12,4,3,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN120058,3,24,male,biological parent,"yes, still lives in household",6,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (livestock),12,7,5,self-employed (food crops),5,2,6,n/a,88,88,88,88,88,88,88,88,88,88,88,7,80,no,no,no
,IN120058,1,49,male,paternal grandparent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (agriculture),6,3,8,self-employed (food crops),5,3,7,n/a,88,88,88,88,88,88,88,88,88,88,88,7,80,no,no,no
,IN120059,0,4,male,yl child,"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77,-77,-77,nk,nk,nk
,IN120059,6,6,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,1,"yes, attending regularly",n/a,88,5,government school,reasonably well,reasonably ok,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,9,2,0,0,0,7,4,2,-77,-77,nk,nk,nk
,IN120059,5,8,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,2,"yes, attending regularly",n/a,88,5,government school,reasonably well,reasonably ok,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,9,2,0,0,0,7,4,2,-77,-77,nk,nk,nk
,IN120059,7,65,female,other relative,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,cannot work but able to care for themselves,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN120059,1,74,male,paternal grandparent,person has died,nk,nk,n/a,n/a,n/a,88,88,n/a,n/a,n/a,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN120059,4,24,female,biological parent,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (agriculture),12,5,8,household chores,12,7,4,n/a,88,88,88,88,88,88,88,88,88,88,88,7,80,no,no,no
,IN120059,3,29,male,biological parent,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,7,80,no,no,no
,IN120059,2,64,female,paternal grandparent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (agriculture),12,5,8,household chores,12,7,3,self-employed (livestock),12,7,2,88,88,88,88,88,88,88,88,7,80,no,no,no
,IN120060,6,2,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77,-77,-77,nk,nk,nk
,IN120060,0,4,female,yl child,"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77,-77,-77,nk,nk,nk
,IN120060,5,6,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,1,"yes, but attending irregularly",n/a,88,5,government school,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,6,4,2,-77,-77,nk,nk,nk
,IN120060,4,10,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,5,"yes, but attending irregularly",n/a,88,5,government school,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,6,4,1,-77,-77,nk,nk,nk
,IN120060,3,27,female,biological parent,"yes, still lives in household",adult literacy,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (agriculture),8,5,9,self-employed (food crops),3,5,9,household chores,12,6,2,88,88,88,88,88,88,88,88,7,74,yes,no,no
,IN120060,2,32,male,biological parent,"yes, still lives in household",adult literacy,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (livestock),12,3,9,wage employment (agriculture),5,4,9,self-employed (food crops),3,4,9,88,88,88,88,88,88,88,88,7,74,yes,no,no
,IN120060,1,49,female,paternal grandparent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (agriculture),8,5,9,self-employed (food crops),3,5,9,household chores,12,6,1,88,88,88,88,88,88,88,88,7,74,yes,no,no
,IN120061,10,4,male,cousin,"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77,-77,-77,nk,nk,nk
,IN120061,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,no,child too young,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,11,0,0,0,0,0,0,9,-77,-77,nk,nk,nk
,IN120061,9,7,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,2,"yes, but attending irregularly",n/a,88,5,government school,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,6,4,2,-77,-77,nk,nk,nk
,IN120061,11,10,female,cousin,"yes, still lives in household",n/a,n/a,5,"yes, but attending irregularly",n/a,88,5,government school,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,1,0,0,6,4,1,-77,-77,nk,nk,nk
,IN120061,6,24,female,uncle/aunt,"no, lives elsewhere",nk,nk,n/a,n/a,n/a,88,88,n/a,n/a,n/a,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN120061,1,99,male,great-grandparent (father's side),person has died,nk,nk,n/a,n/a,n/a,88,88,n/a,n/a,n/a,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN120061,2,64,male,paternal grandparent,"yes, still lives in household",adult literacy,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),6,5,9,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,0,0,no,no,no
,IN120061,8,20,female,uncle/aunt,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,12,7,3,self-employed (food crops),5,4,8,wage employment (agriculture),4,4,8,88,88,88,88,88,88,88,88,8,74,no,no,no
,IN120061,7,22,male,uncle/aunt,"yes, still lives in household",university,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),6,5,9,self-employed (livestock),12,4,5,n/a,88,88,88,88,88,88,88,88,88,88,88,8,74,no,no,no
,IN120061,5,28,female,biological parent,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,12,7,2,self-employed (food crops),5,4,8,wage employment (agriculture),3,5,8,88,88,88,88,88,88,88,88,8,74,no,no,no
,IN120061,4,33,male,biological parent,"yes, still lives in household",7,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),6,5,9,self-employed (livestock),12,3,3,n/a,88,88,88,88,88,88,88,88,88,88,88,8,74,no,no,no
,IN120061,3,60,female,paternal grandparent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),3,5,7,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,8,74,no,no,no
,IN120062,9,1,female,cousin,"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77,-77,-77,nk,nk,nk
,IN120062,0,5,male,yl child,"yes, still lives in household",n/a,n/a,none,no,child too young,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,0,0,10,-77,-77,nk,nk,nk
,IN120062,7,11,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,5,"yes, attending regularly",n/a,88,5,government school,good,reasonably ok,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,2,0,0,0,7,0,4,-77,-77,nk,nk,nk
,IN120062,6,22,female,cousin,"no, lives elsewhere",nk,nk,n/a,n/a,n/a,88,88,n/a,n/a,n/a,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN120062,8,22,female,uncle/aunt,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,12,7,4,wage employment (agriculture),6,3,8,household dependent,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN120062,5,29,male,uncle/aunt,"yes, still lives in household",6,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (agriculture),6,4,8,self-employed (food crops),12,7,1,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN120062,4,32,female,biological parent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,12,7,5,wage employment (agriculture),6,4,8,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN120062,2,54,female,paternal grandparent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (agriculture),6,4,8,household chores,12,7,1,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN120062,3,36,male,biological parent,"yes, still lives in household",1,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (agriculture),6,4,8,self-employed (food crops),12,3,1,n/a,88,88,88,88,88,88,88,88,88,88,88,6,80,no,no,no
,IN120062,1,64,male,paternal grandparent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,6,80,no,no,no
,IN120063,3,1,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77,-77,-77,nk,nk,nk
,IN120063,0,4,female,yl child,"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,9,0,0,0,0,0,0,15,-77,-77,nk,nk,nk
,IN120063,1,32,male,biological parent,person has died,nk,nk,n/a,n/a,n/a,88,88,n/a,n/a,n/a,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN120063,2,24,female,biological parent,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (agriculture),7,4,9,household chores,12,7,3,n/a,88,88,88,88,88,88,88,88,88,88,88,6,74,no,yes,no
,IN120063,5,54,female,maternal grandparent,"yes, still lives in household",adult literacy,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (agriculture),9,5,9,household chores,12,7,2,n/a,88,88,88,88,88,88,88,88,88,88,88,6,74,no,yes,no
,IN120063,4,65,female,maternal grandparent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (agriculture),4,7,8,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,6,74,no,yes,no
,IN120064,0,5,male,yl child,"yes, still lives in household",n/a,n/a,none,"yes, attending regularly",n/a,88,5,government school,good,reasonably ok,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,6,1,7,-77,-77,nk,nk,nk
,IN120064,4,15,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,10,"yes, attending regularly",n/a,88,5,government school,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,7,0,0,0,0,8,6,3,-77,-77,nk,nk,nk
,IN120064,3,17,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,"post-secondary, vocational","yes, attending regularly",n/a,88,5,private,good,good,no disability,household chores,12,7,1,n/a,88,88,88,n/a,88,88,88,10,2,2,0,0,6,1,3,-77,-77,nk,nk,nk
,IN120064,1,39,male,biological parent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (agriculture),10,3,7,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,8,80,no,yes,no
,IN120064,2,34,female,biological parent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (agriculture),9,6,9,household chores,12,7,3,n/a,88,88,88,88,88,88,88,88,88,88,88,9,80,no,yes,no
,IN120065,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,no,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,8,1,2,-77,-77,nk,nk,nk
,IN120065,4,7,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,none,"yes, attending regularly",n/a,88,7,private,good,excellent,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,8,4,1,-77,-77,nk,nk,nk
,IN120065,2,34,male,biological parent,"yes, still lives in household",10,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (non-agriculture),12,7,7,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN120065,3,32,female,biological parent,"yes, still lives in household",6,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (livestock),12,7,7,household chores,12,7,3,n/a,88,88,88,88,88,88,88,88,88,88,88,10,50,no,no,no
,IN120065,1,69,female,paternal grandparent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),6,4,8,wage employment (agriculture),10,2,8,wage employment (non-agriculture),2,4,7,88,88,88,88,88,88,88,88,25,60,no,no,no
,IN120066,5,3,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77,-77,-77,nk,nk,nk
,IN120066,0,5,male,yl child,"yes, still lives in household",n/a,n/a,none,"yes, but attending irregularly",n/a,88,5,government school,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,9,0,0,0,0,6,4,2,-77,-77,nk,nk,nk
,IN120066,2,43,female,paternal grandparent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (livestock),12,7,8,self-employed (business),12,3,2,household chores,12,7,1,88,88,88,88,88,88,88,88,0,0,no,no,no
,IN120066,1,66,male,paternal grandparent,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,0,0,no,no,no
,IN120066,4,23,female,biological parent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,12,7,6,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,14,86,no,no,no
,IN120066,3,25,male,biological parent,"yes, still lives in household",10,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (agriculture),10,4,10,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,14,86,no,no,no
,IN120067,6,4,male,nk,"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77,-77,-77,nk,nk,nk
,IN120067,0,5,male,yl child,"yes, still lives in household",n/a,n/a,none,"yes, attending regularly",n/a,88,5,government school,reasonably well,reasonably ok,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,11,0,0,0,0,7,1,5,-77,-77,nk,nk,nk
,IN120067,5,11,male,uncle/aunt,"yes, still lives in household",n/a,n/a,6,no,family member ill,10,5,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,6,0,0,0,0,0,5,-77,-77,nk,nk,nk
,IN120067,2,42,female,paternal grandparent,"yes, still lives in household",adult literacy,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN120067,3,27,male,biological parent,"yes, still lives in household",6,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,regular salaried employment,9,6,8,self-employed (food crops),2,7,9,n/a,88,88,88,88,88,88,88,88,88,88,88,0,88,no,no,no
,IN120067,4,24,female,biological parent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,12,7,4,wage employment (agriculture),6,5,9,self-employed (food crops),2,7,9,88,88,88,88,88,88,88,88,8,80,no,yes,no
,IN120067,1,49,male,paternal grandparent,"yes, still lives in household",1,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,8,80,no,yes,no
,IN120068,3,2,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77,-77,-77,nk,nk,nk
,IN120068,0,4,male,yl child,"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77,-77,-77,nk,nk,nk
,IN120068,2,22,female,biological parent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,12,7,5,wage employment (agriculture),12,4,8,self-employed (food crops),5,2,4,88,88,88,88,88,88,88,88,10,80,no,no,no
,IN120068,1,28,male,biological parent,"yes, still lives in household",9,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (agriculture),12,3,8,wage employment (non-agriculture),12,2,8,self-employed (food crops),5,2,6,88,88,88,88,88,88,88,88,17,80,no,no,no
,IN120069,0,4,male,yl child,"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,7,1,6,-77,-77,nk,nk,nk
,IN120069,6,7,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,2,"yes, attending regularly",n/a,88,5,private,excellent,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,2,0,0,0,7,2,3,-77,-77,nk,nk,nk
